Rua,Bairro,Path_Coordinates
Rua Humaitá,Humaitá,"[[-43.19642, -22.952657], [-43.196513, -22.952812], [-43.196873, -22.953514], [-43.19692, -22.953605], [-43.196973, -22.953715], [-43.197116, -22.953994], [-43.197344, -22.954456], [-43.197442, -22.954604], [-43.197521, -22.954712], [-43.197765, -22.955058], [-43.197878, -22.955227], [-43.198018, -22.955447], [-43.198135, -22.955688], [-43.198185, -22.955846], [-43.198271, -22.956016], [-43.198448, -22.956361], [-43.198562, -22.956565], [-43.198636, -22.956715], [-43.198679, -22.956803], [-43.198724, -22.956866], [-43.198999, -22.957251], [-43.199121, -22.957425], [-43.199206, -22.957545], [-43.199343, -22.957731], [-43.19965, -22.958172], [-43.200049, -22.95872], [-43.200118, -22.958771], [-43.200207, -22.958831], [-43.200261, -22.958867], [-43.200594, -22.95903], [-43.200642, -22.959053], [-43.200843, -22.95915], [-43.20234, -22.959881], [-43.202591, -22.959991], [-43.202672, -22.960027], [-43.202844, -22.960079], [-43.203014, -22.96012], [-43.203351, -22.960187]]"
Rua Senador Vergueiro,Flamengo,"[[-43.177543, -22.94097], [-43.177487, -22.940867], [-43.177408, -22.940728], [-43.177387, -22.940697], [-43.176985, -22.940074], [-43.176891, -22.939823], [-43.176691, -22.939331], [-43.176603, -22.939052], [-43.176529, -22.938764], [-43.176453, -22.93855], [-43.176428, -22.93847], [-43.176398, -22.938408], [-43.176374, -22.938353], [-43.175728, -22.936873], [-43.175708, -22.936827], [-43.175616, -22.936606], [-43.175318, -22.935768], [-43.175213, -22.935473], [-43.175199, -22.935433], [-43.175196, -22.935423], [-43.175171, -22.935339], [-43.175105, -22.935107], [-43.175083, -22.935029], [-43.175115, -22.934952], [-43.175177, -22.934852], [-43.175374, -22.934691], [-43.175851, -22.9343], [-43.176077, -22.934087], [-43.176126, -22.93404], [-43.176175, -22.933992], [-43.1765, -22.933691], [-43.176745, -22.933463], [-43.17694, -22.933283], [-43.176962, -22.933262], [-43.177011, -22.933216], [-43.177043, -22.933185], [-43.17706, -22.933169], [-43.177213, -22.933024], [-43.177301, -22.932935]]"
Largo do Machado,Catete,"[[-43.17765, -22.930322], [-43.177716, -22.930323], [-43.177928, -22.930325], [-43.178058, -22.930351], [-43.178587, -22.930502], [-43.178811, -22.930566], [-43.179077, -22.930645], [-43.179173, -22.93068], [-43.179397, -22.930771], [-43.179426, -22.930785], [-43.179463, -22.930797], [-43.179497, -22.930808], [-43.17947, -22.930896], [-43.179361, -22.931185], [-43.179351, -22.931216], [-43.179345, -22.931254], [-43.179343, -22.93128], [-43.179341, -22.931303], [-43.179344, -22.931342], [-43.179351, -22.931404], [-43.179224, -22.931355], [-43.179171, -22.931339], [-43.17911, -22.931321], [-43.178912, -22.931258], [-43.178718, -22.931189], [-43.178623, -22.931159], [-43.178577, -22.931141], [-43.178359, -22.931068], [-43.178227, -22.931028], [-43.177968, -22.930948], [-43.177886, -22.930956], [-43.177808, -22.930993], [-43.177648, -22.931183]]"
Avenida Prado Júnior,Copacabana,"[[-43.175231, -22.963417], [-43.174905, -22.964103], [-43.174823, -22.964266], [-43.174746, -22.964425], [-43.174437, -22.965037], [-43.17435, -22.965218], [-43.174268, -22.965353], [-43.174206, -22.965421], [-43.174138, -22.965462], [-43.174043, -22.9655]]"
Rua Siqueira Campos,Copacabana,"[[-43.186545, -22.966752], [-43.186478, -22.966799], [-43.186454, -22.966819], [-43.18644, -22.966834], [-43.186423, -22.966853], [-43.18628, -22.967034], [-43.186256, -22.967062], [-43.186195, -22.967138], [-43.186028, -22.967345], [-43.18581, -22.967615], [-43.185491, -22.968021], [-43.185328, -22.968217], [-43.185244, -22.968324], [-43.185137, -22.968462], [-43.185096, -22.968515], [-43.184975, -22.968672], [-43.184729, -22.968991], [-43.184619, -22.969133], [-43.18452, -22.969258], [-43.184297, -22.969535], [-43.184128, -22.969746], [-43.183994, -22.96992], [-43.183479, -22.970546], [-43.183393, -22.970646], [-43.183302, -22.970751], [-43.183263, -22.970787], [-43.183226, -22.970803], [-43.183198, -22.97081]]"
Avenida Ataulfo de Paiva,Leblon,"[[-43.22951, -22.986614], [-43.229302, -22.986524], [-43.229273, -22.986511], [-43.229104, -22.986434], [-43.228859, -22.986321], [-43.228743, -22.986268], [-43.228265, -22.986057], [-43.228134, -22.985999], [-43.228039, -22.985957], [-43.227386, -22.985675], [-43.227291, -22.985634], [-43.227222, -22.985606], [-43.226641, -22.985374], [-43.22655, -22.985338], [-43.226482, -22.985316], [-43.226071, -22.985184], [-43.225878, -22.985122], [-43.225786, -22.985092], [-43.225717, -22.985069], [-43.225131, -22.984874], [-43.225026, -22.984839], [-43.22495, -22.984818], [-43.224719, -22.984754], [-43.224386, -22.984662], [-43.224161, -22.984607], [-43.224063, -22.984582], [-43.223995, -22.984567], [-43.223611, -22.984482], [-43.223492, -22.984455], [-43.22328, -22.984414], [-43.223121, -22.984383], [-43.223014, -22.984359], [-43.222386, -22.984222], [-43.222303, -22.984203], [-43.222217, -22.984187], [-43.221605, -22.984069], [-43.221526, -22.984054], [-43.221439, -22.98404], [-43.221022, -22.983973], [-43.220802, -22.983937], [-43.220712, -22.983923], [-43.22064, -22.983915], [-43.220407, -22.983889], [-43.220001, -22.983856], [-43.219917, -22.98385], [-43.219838, -22.983842], [-43.218935, -22.983751], [-43.218851, -22.983743], [-43.218765, -22.983738], [-43.217977, -22.983697], [-43.217791, -22.98369], [-43.217589, -22.983686], [-43.217028, -22.983674], [-43.21692, -22.983673], [-43.216844, -22.983673], [-43.216544, -22.983678], [-43.216318, -22.983679], [-43.216127, -22.98368], [-43.215872, -22.983682], [-43.215709, -22.983684]]"
Rua Pacheco Leão,Jardim Botânico,"[[-43.231403, -22.966791], [-43.231783, -22.966724], [-43.232107, -22.966682], [-43.232522, -22.966607], [-43.233041, -22.966474], [-43.233154, -22.966461], [-43.23323, -22.96647], [-43.233314, -22.966502], [-43.233573, -22.966589], [-43.233716, -22.966613], [-43.233958, -22.966624], [-43.234111, -22.966618], [-43.235033, -22.966571], [-43.235357, -22.966567], [-43.23547, -22.966565], [-43.235601, -22.966637], [-43.235657, -22.966668], [-43.235785, -22.966738], [-43.236105, -22.966933], [-43.236313, -22.96705], [-43.236524, -22.967161], [-43.236667, -22.967219], [-43.236774, -22.967248], [-43.236872, -22.967263], [-43.237014, -22.967263], [-43.237482, -22.967238], [-43.237702, -22.967231], [-43.237949, -22.967223], [-43.238084, -22.967226], [-43.238336, -22.967261], [-43.238453, -22.967295], [-43.238561, -22.967333], [-43.238786, -22.967412], [-43.239174, -22.967552]]"
Rua Jardim Botânico,Jardim Botânico,"[[-43.204512, -22.960324], [-43.204945, -22.960395], [-43.205039, -22.960401], [-43.205667, -22.96046], [-43.206043, -22.9605], [-43.206179, -22.96052], [-43.206387, -22.960549], [-43.206487, -22.960563], [-43.206987, -22.960627], [-43.207059, -22.960636], [-43.20732, -22.960667], [-43.207825, -22.960726], [-43.207927, -22.960738], [-43.208077, -22.960756], [-43.20834, -22.960787], [-43.208535, -22.96081], [-43.208586, -22.960816], [-43.20874, -22.960835], [-43.208771, -22.960839], [-43.209446, -22.960919], [-43.210104, -22.960997], [-43.210955, -22.961094], [-43.211523, -22.961152], [-43.212571, -22.961251], [-43.212696, -22.961262], [-43.212725, -22.961265], [-43.213096, -22.961303], [-43.213614, -22.961352], [-43.213874, -22.961388], [-43.214218, -22.961468], [-43.214443, -22.961556], [-43.214849, -22.961721], [-43.215137, -22.961902], [-43.215392, -22.962082], [-43.215695, -22.962358], [-43.21573, -22.962392], [-43.215791, -22.962452], [-43.215878, -22.962545], [-43.215939, -22.962612], [-43.216336, -22.96303], [-43.216656, -22.963373], [-43.216714, -22.963431], [-43.216903, -22.963615], [-43.216942, -22.963654], [-43.216981, -22.96369], [-43.21701, -22.963717], [-43.217416, -22.964147], [-43.217431, -22.964162], [-43.217494, -22.964225], [-43.217523, -22.964252], [-43.217782, -22.964531], [-43.217829, -22.964582], [-43.217904, -22.964658], [-43.218012, -22.964778], [-43.218324, -22.965126], [-43.218367, -22.965176], [-43.218411, -22.965228], [-43.218445, -22.965265], [-43.218536, -22.965369], [-43.218565, -22.965409], [-43.21863, -22.965487], [-43.218661, -22.965525], [-43.219159, -22.966143], [-43.219258, -22.966267], [-43.219276, -22.966291], [-43.21929, -22.96631], [-43.219414, -22.966464], [-43.21947, -22.966539], [-43.219507, -22.966583], [-43.219561, -22.966648], [-43.221827, -22.969322], [-43.222611, -22.970269], [-43.22274, -22.970425], [-43.222837, -22.970543], [-43.223075, -22.970829], [-43.223162, -22.970926], [-43.223847, -22.97172], [-43.224027, -22.971916], [-43.224281, -22.97222], [-43.224478, -22.97243], [-43.224567, -22.972521]]"
Rua Teixeira de Melo,Ipanema,"[[-43.198721, -22.986785], [-43.198743, -22.986724], [-43.198754, -22.986663], [-43.198752, -22.986618], [-43.198686, -22.985791], [-43.198677, -22.985665], [-43.198663, -22.985502], [-43.198633, -22.98494], [-43.198626, -22.984784], [-43.198625, -22.984738], [-43.19862, -22.984588], [-43.198607, -22.984476], [-43.198605, -22.984442], [-43.198542, -22.983609], [-43.198539, -22.983567], [-43.198535, -22.983493]]"
Ciclofaixa Rua das Laranjeiras,Laranjeiras,"[[-43.190057, -22.936539], [-43.18995, -22.936328], [-43.18964, -22.935959], [-43.189334, -22.935636], [-43.189216, -22.935561], [-43.188993, -22.935451], [-43.188955, -22.93544], [-43.188904, -22.935462], [-43.18886, -22.935487], [-43.188796, -22.935483], [-43.188676, -22.935424], [-43.188644, -22.935397], [-43.188609, -22.935363], [-43.188582, -22.935336], [-43.18859, -22.935308], [-43.188581, -22.935289]]"
