Bairro,Rua,Qtd_Comércios_existentes,Indice_Fluxo_Pedestres,Renda_média_Familiar_R$,Coef_Concentration_Conc,Potencial_Delivery_Score,Score_Global_Final,Custo_Luvas_m2_R$,Aluguel_Mensal_m2_R$,Custo_Total_Ano1_R$,Indice_Rentabilidade_Imobi
Leme,Martim Afonso,2,55,7900,0.0012,50,40,2750,180,270050,77
Urca,Mureta da Urca,2,55,11800,0.0012,35,41,1450,100,145750,98
Glória,Rua Benjamin Constant,2,57,6500,0.0012,50,40,1450,100,145750,98
Botafogo,Rua Camuirano,2,51,9800,0.0012,95,49,2700,180,267300,78
Ipanema,Rua Piragibe Frota Aguiar,2,51,14800,0.0012,98,55,4800,320,475200,42
Copacabana,Rua Piragibe Frota Aguiar,2,51,8200,0.0012,98,48,2700,180,267300,78
Urca,Rua Osório de Almeida,2,53,11800,0.0012,35,40,1400,100,143000,99
Copacabana,Rua Capelão Álvares da Silva,2,51,8200,0.0012,98,48,2700,180,267300,78
Glória,Largo Paula Cândido,2,56,6500,0.0012,50,39,1450,100,145750,98
Copacabana,Travessa Jaú,2,48,8200,0.0012,98,47,2650,180,264550,78
São Conrado,Avenida Niemeyer,2,65,11500,0.0012,30,44,1500,100,148500,98
Leme,Rua Roberto Dias Lopes,2,48,7900,0.0012,50,37,2650,180,264550,78
Ipanema,Rua Barão de Jaguaripe,2,48,14800,0.0012,90,52,4750,320,472450,43
Botafogo,Rua Barão de Lucena,2,56,9800,0.0012,95,51,2800,180,272800,77
Urca,Rua Otávio Correia,2,51,11800,0.0012,35,39,1400,100,143000,99
Humaitá,Rua Capistrano de Abreu,2,56,9100,0.0012,70,46,2800,180,272800,77
Laranjeiras,Rua Paulo VI,1,53,8500,0.0006,75,43,1750,130,182050,92
Laranjeiras,Rua Marquesa de Santos,1,55,8500,0.0006,75,44,1750,130,182050,92
São Conrado,Rua Engenheiro Amandino de Carvalho,1,54,11500,0.0006,30,38,1450,100,145750,98
Ipanema,Estrada do Cantagalo,1,51,14800,0.0006,98,53,4800,320,475200,42
Copacabana,Estrada do Cantagalo,1,51,8200,0.0006,98,47,2700,180,267300,78
Jardim Botânico,Rua Nina Rodrigues,1,45,12500,0.0006,45,38,2650,180,264550,78
Humaitá,Rua Miguel Pereira,1,52,9100,0.0006,70,43,2750,180,270050,77
Urca,Rua Odílio Bacelar,1,53,11800,0.0006,35,39,1400,100,143000,99
Humaitá,Rua Mário de Andrade,1,45,9100,0.0006,70,39,2650,180,264550,78
Jardim Botânico,Rua Getúlio das Neves,1,45,12500,0.0006,45,38,2650,180,264550,78
Botafogo,Avenida Carlos Peixoto,1,52,9800,0.0006,95,48,2750,180,270050,77
Jardim Botânico,Aleia,1,57,12500,0.0006,45,43,2800,180,272800,77
Urca,Travessa do Procópio,1,54,11800,0.0006,35,39,1450,100,145750,98
Leblon,Autoestrada Lagoa-Barra,1,45,16500,0.0006,88,50,4700,320,469700,43
São Conrado,Rua Herbert Moses,1,45,11500,0.0006,30,35,1350,100,140250,99
Jardim Botânico,Rua Joaquim Campos Porto,1,53,12500,0.0006,45,41,2750,180,270050,77
Copacabana,Rua Inhangá,1,52,8200,0.0006,98,47,2750,180,270050,77
Leblon,Rua Desembargador Alfredo Russel,1,49,16500,0.0006,88,52,4800,320,475200,42
São Conrado,Rua Engenheiro Álvaro Niemeyer,1,45,11500,0.0006,30,35,1350,100,140250,99
Urca,Rua Elmano Cardim,1,45,11800,0.0006,35,35,1350,100,140250,99
São Conrado,Rua Julieta Niemeyer,1,49,11500,0.0006,30,36,1400,100,143000,99
Jardim Botânico,Rua José Joaquim Seabra,1,45,12500,0.0006,45,38,2650,180,264550,78
Leme,Rua Doutor Vitorino,1,49,7900,0.0006,50,36,2700,180,267300,78
Leme,Rua Doutor Vitorino (NR),1,49,7900,0.0006,50,36,2700,180,267300,78
Urca,Rua Lírio da Paz,1,45,11800,0.0006,35,35,1350,100,140250,99
Gávea,Rua Major Rubens Vaz,1,51,13200,0.0006,45,41,1400,100,143000,99
Botafogo,Rua Marechal Francisco de Moura,1,49,9800,0.0006,95,47,2700,180,267300,78
Leblon,Rua Ministro Raul Machado,1,53,16500,0.0006,88,54,4850,320,477950,42
Flamengo,Rua Martins Ribeiro,1,49,9200,0.0006,88,45,1700,130,179300,92
Leblon,Rua Doutor Marques Canário,1,52,16500,0.0006,88,54,4850,320,477950,42
Leblon,Rua Fadel Fadel,1,45,16500,0.0006,88,50,4700,320,469700,43
Jardim Botânico,Rua Eurico Cruz,1,45,12500,0.0006,45,38,2650,180,264550,78
Botafogo,Rua Mundo Novo,1,45,9800,0.0006,95,45,2650,180,264550,78
Laranjeiras,Rua Moura Brasil,1,49,8500,0.0006,75,42,1700,130,179300,92
Botafogo,Rua Clotilde Guimarães,1,58,9800,0.0006,95,51,2800,180,272800,77
Jardim Botânico,Rua Doutor Girondino Estêves,1,51,12500,0.0006,45,40,2700,180,267300,78
Laranjeiras,Rua Tavares Bastos,1,49,8500,0.0006,75,42,1700,130,179300,92
Gávea,Rua Quintino Cunha,1,45,13200,0.0006,45,38,1350,100,140250,99
Botafogo,Rua Teodor Herzl,1,45,9800,0.0006,95,45,2650,180,264550,78
Laranjeiras,Rua Belisário Távora,1,49,8500,0.0006,75,42,1700,130,179300,92
Botafogo,Rua Barão de Macaúbas,1,52,9800,0.0006,95,48,2750,180,270050,77
Urca,Marechal Cantuária,1,57,11800,0.0006,35,40,1450,100,145750,98
Ipanema,Jardim de Alah,1,53,14800,0.0006,90,53,4850,320,477950,42
Laranjeiras,Rua Pires de Almeida,1,45,8500,0.0006,75,40,1650,130,176550,93
Laranjeiras,Rua Presidente Carlos de Campos,1,49,8500,0.0006,75,42,1700,130,179300,92
São Conrado,Rua Coronel Ribeiro Gomes,1,51,11500,0.0006,30,36,1400,100,143000,99
Catete,Rua Cruzeiro do Sul,1,45,6900,0.0006,82,40,1350,100,140250,99
Leblon,Rua Capitão César de Andrade,1,45,16500,0.0006,88,50,4700,320,469700,43
Botafogo,Rua Cardoso Júnior,1,53,9800,0.0006,95,49,2750,180,270050,77
Ipanema,Rua Conselheiro Lafaiete,1,45,14800,0.0006,90,49,4700,320,469700,43
Laranjeiras,Rua Rumânia,1,51,8500,0.0006,75,42,1700,130,179300,92
São Conrado,Rua Princesa Diana de Gales,1,45,11500,0.0006,30,35,1350,100,140250,99
Botafogo,Rua Principado de Mônaco,1,49,9800,0.0006,95,47,2700,180,267300,78
Urca,Avenida São Sebastião,1,45,11800,0.0006,35,35,1350,100,140250,99
Botafogo,Avenida Rui Barbosa,1,59,9800,0.0006,95,51,2850,180,275550,76
Leme,Rua Bonfim,1,45,7900,0.0006,98,44,2650,180,264550,78
Copacabana,Rua Bonfim,1,45,8200,0.0006,98,44,2650,180,264550,78
Laranjeiras,Rua Almirante Salgado,1,51,8500,0.0006,75,42,1700,130,179300,92
Botafogo,Praça Nicarágua,1,53,9800,0.0006,95,49,2750,180,270050,77
Botafogo,Praça Praia Nova,1,45,9800,0.0006,95,45,2650,180,264550,78
Botafogo,Rua das Flores,1,49,9800,0.0006,35,35,2700,180,267300,78
Ipanema,Rua Tereza Aragão,1,49,14800,0.0006,90,51,4800,320,475200,42
Urca,Rua das Flores,1,49,11800,0.0006,35,37,1400,100,143000,99
Botafogo,Rua Vicente de Sousa,1,51,9800,0.0006,95,48,2700,180,267300,78
Urca,Rua Urbano Santos,1,52,11800,0.0006,35,38,1400,100,143000,99
Urca,Praça Tomás Santa Rosa,1,53,11800,0.0006,35,39,1400,100,143000,99
Laranjeiras,Rua Aparício Borges,1,45,8500,0.0006,75,40,1650,130,176550,93
Leme,Rua Vila do Sossego,1,45,7900,0.0006,50,35,2650,180,264550,78
Glória,Ladeira de Nossa Senhora,1,45,6500,0.0006,50,35,1350,100,140250,99
Ipanema,Avenida Nossa Senhora de Copacabana,1,68,14800,0.0006,90,59,5150,340,507650,37
Humaitá,Rua São Clemente,1,64,9100,0.0006,70,48,2900,190,284900,75
Leme,Rua São Bento,1,45,7900,0.0006,50,35,2650,180,264550,78
Laranjeiras,Rua Alegrete,1,52,8500,0.0006,75,43,1700,130,179300,92
Leblon,Praça Nosa Senhora Auxiliadora,1,54,16500,0.0006,88,54,4900,320,480700,41
Copacabana,Largo Ibrahim Sued,1,45,8200,0.0006,98,44,2650,180,264550,78
Humaitá,Largo Ibam,1,51,9100,0.0006,95,47,2700,180,267300,78
Copacabana,Rua da Caixa d'água (NR),1,45,8200,0.0006,50,35,2650,180,264550,78
Leme,Rua da Caixa d'água (NR),1,45,7900,0.0006,50,35,2650,180,264550,78
Urca,Praça Felix Laranjeiras,1,49,11800,0.0006,35,37,1400,100,143000,99
Laranjeiras,Travessa Pinto da Rocha,1,45,8500,0.0006,75,40,1650,130,176550,93
Botafogo,Largo Ibam,1,51,9800,0.0006,95,48,2700,180,267300,78
Urca,Praia da Urca,1,52,11800,0.0006,35,38,1400,100,143000,99
Gávea,Rua Álvaro Americano,1,45,13200,0.0006,45,38,1350,100,140250,99
