Rua,Bairro,Path_Coordinates
Rua Nelson Mandela,Botafogo,"[[-43.1842019593595, -22.95433334223546], [-43.18456400809891, -22.95519096493854], [-43.18551746422744, -22.954501214316604], [-43.18595375467789, -22.953872277351426], [-43.18556028034716, -22.954635947696183]]"
Rua Pedro Américo,Catete,"[[-43.17647911441769, -22.924089573737177], [-43.177124235330126, -22.924525504592033], [-43.17651056585159, -22.92402427508875], [-43.17668533049777, -22.92304326480475], [-43.17613250457629, -22.923299228633166]]"
Rua Vinícius de Moraes,Ipanema,"[[-43.20442603583575, -22.98124952348894], [-43.20391695008758, -22.980747781353358], [-43.203111844274225, -22.981541533615687], [-43.20245892934201, -22.98153102887079], [-43.20166788288502, -22.98189092966873]]"
Avenida Princesa Isabel,Copacabana,"[[-43.18515227993928, -22.965067708141486], [-43.18425215600518, -22.965429080866304], [-43.184105280228934, -22.96452786657243], [-43.184208389184974, -22.96426419214809], [-43.184551060094236, -22.964677770604695]]"
Rua Machado de Assis,Flamengo,"[[-43.174662291143235, -22.934950525737644], [-43.17467345053383, -22.935768113531548], [-43.17457439276918, -22.936652996011514], [-43.17379898440366, -22.936769935008765], [-43.17456485037081, -22.937068104983663]]"
Rua do Catete,Flamengo,"[[-43.17879326394326, -22.935990691620102], [-43.178391325680344, -22.936822478007873], [-43.17774760556176, -22.937676951995144], [-43.17858490800048, -22.93726446754083], [-43.17761162884348, -22.93809479211266]]"
Rua Bento Lisboa,Catete,"[[-43.1756165085357, -22.923623202596456], [-43.17510975216518, -22.92265120046881], [-43.17594275073178, -22.92289868129775], [-43.17582594223231, -22.922344387465895], [-43.17501323346212, -22.9224959434474]]"
Avenida Pasteur,Urca,"[[-43.16318803614803, -22.957931878131394], [-43.16395040031549, -22.95881927158003], [-43.16365197971126, -22.959584219086477], [-43.16348524218107, -22.959092129327946], [-43.16373550102202, -22.958167784230998]]"
Praia do Flamengo,Flamengo,"[[-43.173620664763355, -22.938358424968882], [-43.17268090710994, -22.939334116019502], [-43.171898620882544, -22.9402477961956], [-43.170912691290305, -22.940192393977426], [-43.1708049827215, -22.941044800847955]]"
Rua da Passagem,Botafogo,"[[-43.18412550786609, -22.951123608171187], [-43.18387039170592, -22.951214526041653], [-43.18306807568494, -22.951045897417806], [-43.18350614930576, -22.951955004657123], [-43.18272562173797, -22.95105418168897]]"
Rua Domingos Ferreira,Copacabana,"[[-43.184571273041655, -22.968835712902113], [-43.1848645685856, -22.968908316092232], [-43.18570909931167, -22.96874100386853], [-43.18473667782271, -22.967792214253198], [-43.184664485090025, -22.96739589082516]]"
Rua Belfort Roxo,Copacabana,"[[-43.184724298363925, -22.966391612964678], [-43.18407922387808, -22.96556975859569], [-43.1836277848613, -22.964670158769106], [-43.18379129878872, -22.964443328377236], [-43.18305917100972, -22.96357787141053]]"
Rua Figueiredo de Magalhães,Copacabana,"[[-43.180836680015304, -22.96824121979873], [-43.181535846233096, -22.967266667540102], [-43.181774064519836, -22.967078406109398], [-43.18108982667356, -22.966138577313767], [-43.181152440353976, -22.965461919904346]]"
Rua Maria Quitéria,Ipanema,"[[-43.20181166574247, -22.986061747020095], [-43.2008122303959, -22.985435945001836], [-43.20070136698469, -22.984442671327688], [-43.199811835524926, -22.983904696497326], [-43.20031713932144, -22.98320540171597]]"
Avenida Bartolomeu Mitre,Leblon,"[[-43.22106295219329, -22.983075693836447], [-43.220719550824484, -22.98361840822544], [-43.221003225388415, -22.98338215174452], [-43.22066007899723, -22.98415503656012], [-43.22011544221375, -22.984114421158313]]"
Praça Demétrio Ribeiro,Copacabana,"[[-43.182334372170786, -22.967188558967354], [-43.18252740643836, -22.96643525176204], [-43.18346984108573, -22.96716722130514], [-43.18322922198303, -22.96665694679379], [-43.183803293660006, -22.96624878725759]]"
Rua Real Grandeza,Botafogo,"[[-43.18476049387887, -22.952796474647158], [-43.18488554403482, -22.95301198655696], [-43.18518903310078, -22.95220366916797], [-43.184621727075296, -22.95217569018965], [-43.18437755367484, -22.952382604625008]]"
Rua Dias Ferreira,Leblon,"[[-43.21914047424903, -22.987917559114425], [-43.21962398547243, -22.987933326528267], [-43.21866392032186, -22.98801505501579], [-43.21900641710128, -22.988029818827805], [-43.21952612586373, -22.98776301711917]]"
Rua Mena Barreto,Botafogo,"[[-43.187388583838924, -22.954131724966253], [-43.187106834349315, -22.954854070620954], [-43.18741549978267, -22.955490310452156], [-43.187467576502144, -22.954696733632343], [-43.18812293675974, -22.9543616181553]]"
Rua Dois de Dezembro,Flamengo,"[[-43.177728457965806, -22.938686389621566], [-43.17855105289829, -22.939332368653012], [-43.17862949536223, -22.940091096910812], [-43.17890095564013, -22.940678429474], [-43.178520165982874, -22.94067159493229]]"
Rua Silveira Martins,Flamengo,"[[-43.17890944580831, -22.935932597663054], [-43.178067701007244, -22.93518544041484], [-43.17851394571095, -22.93606328449513], [-43.17801742633018, -22.935450881935544], [-43.17859872768351, -22.936081839896833]]"
Rua Paissandu,Laranjeiras,"[[-43.18858651816259, -22.93539047137082], [-43.18809157628632, -22.935465401938554], [-43.18858670239763, -22.936392035532773], [-43.187796288722254, -22.935965336361004], [-43.187732061751724, -22.935941981476773]]"
Rua Silveira Martins,Catete,"[[-43.17984517697819, -22.92530429640127], [-43.18009060865198, -22.92576580993937], [-43.180446450320815, -22.926725667543817], [-43.18079145561646, -22.927302771529824], [-43.18001040105498, -22.928063247266184]]"
Rua General Polidoro,Botafogo,"[[-43.18530934680642, -22.950164972568356], [-43.185235133722784, -22.95099113199218], [-43.184744254774415, -22.950817449756137], [-43.18548909416882, -22.95095413066368], [-43.18576292957602, -22.95138657885208]]"
Rua Farme de Amoedo,Ipanema,"[[-43.201080908507244, -22.984263419644613], [-43.20160645492377, -22.9840518700059], [-43.2023007366454, -22.98484830506066], [-43.20297937389888, -22.98535638960389], [-43.20340918356149, -22.985983255555787]]"
Praça Santos Dumont,Gávea,"[[-43.22985293166258, -22.97811859752603], [-43.22888817442876, -22.978297803872053], [-43.22909246323067, -22.979073726067718], [-43.22836144897888, -22.978134785201167], [-43.22884564332479, -22.97750064105927]]"
Terminal Rodoviário da PUC-Rio,Gávea,"[[-43.229659422641916, -22.973023744065234], [-43.2300994644546, -22.972880518686296], [-43.23072537695748, -22.97234153281991], [-43.23087450408025, -22.9726941743471], [-43.231389684615415, -22.97267895358973]]"
Rua Voluntários da Pátria,Humaitá,"[[-43.19451257067146, -22.957268216680557], [-43.19455029046775, -22.95795949125001], [-43.195446643394106, -22.957894312384905], [-43.196177814040226, -22.958221103828517], [-43.19519789357545, -22.959094353887572]]"
Avenida Pasteur,Botafogo,"[[-43.18421098366665, -22.953372156071417], [-43.18401970618544, -22.952851700351637], [-43.18419602435714, -22.952908547974538], [-43.183336966068644, -22.95321081144145], [-43.18240691224731, -22.952549572625877]]"
Rua Constante Ramos,Copacabana,"[[-43.184612601603, -22.964869957259076], [-43.18413036030442, -22.965736964724343], [-43.183446702750906, -22.965588018497982], [-43.18285616812719, -22.96630847374473], [-43.18352885624146, -22.966905219104632]]"
Rua São Salvador,Laranjeiras,"[[-43.18766160745139, -22.93510881667582], [-43.18690720636976, -22.935391155707574], [-43.186274007490816, -22.93560626549273], [-43.18652011863197, -22.935727995675588], [-43.18691736288364, -22.93580263610425]]"
Rua Ministro Viveiros de Castro,Copacabana,"[[-43.18030255256035, -22.96910672382912], [-43.18021544683812, -22.969338941386376], [-43.179966970846294, -22.968525997164445], [-43.179087306599065, -22.96929220108303], [-43.17941749536975, -22.969036784976886]]"
Rua Corrêa Dutra,Catete,"[[-43.178099233448144, -22.92477956346443], [-43.177522039025696, -22.923991778298326], [-43.1778985948901, -22.92468842853886], [-43.177410702304954, -22.92519145025923], [-43.177270922935215, -22.92612438538976]]"
Rua Visconde de Ouro Preto,Botafogo,"[[-43.183372456171966, -22.952847509507702], [-43.1826795515885, -22.953626246033792], [-43.182884977007376, -22.954371268709128], [-43.18358514215268, -22.95377667797757], [-43.183140637015896, -22.954318175187105]]"
Rua Barão da Torre,Ipanema,"[[-43.20374365333991, -22.982236309333196], [-43.204052261352906, -22.98273271121538], [-43.20323536023024, -22.983369515781778], [-43.20343365739671, -22.983202732192247], [-43.20253909071749, -22.98327872058496]]"
Rua Arnaldo Quintela,Botafogo,"[[-43.18463127458739, -22.951864667926692], [-43.1838870267695, -22.95282844755905], [-43.18375676040232, -22.95196421099408], [-43.182911761639964, -22.951570909346326], [-43.18360668355414, -22.9511564320777]]"
Rua Ronald de Carvalho,Copacabana,"[[-43.181281334586245, -22.967955215972186], [-43.18043019756043, -22.967086481942648], [-43.181203721468755, -22.96718480319984], [-43.18052592529586, -22.966215120801913], [-43.17968424153062, -22.966965795439506]]"
Ciclovia Mané Garrincha,Botafogo,"[[-43.18590598377678, -22.95135234738553], [-43.18623558929349, -22.952242824107888], [-43.18722632524748, -22.95163711721069], [-43.1874299878603, -22.951970118867308], [-43.18659027662747, -22.951895327661433]]"
Ciclovia Mané Garrincha,Copacabana,"[[-43.18298669235466, -22.96607499251134], [-43.183081813322396, -22.96662578286546], [-43.18372903934938, -22.9673440688247], [-43.183891188450374, -22.96734733327922], [-43.18416640065214, -22.966517641477086]]"
Rua Tonelero,Copacabana,"[[-43.1817187757679, -22.970421433260473], [-43.18079663513296, -22.971065361326733], [-43.180967386885506, -22.97176803587123], [-43.17997363838182, -22.97259733653507], [-43.179782868347175, -22.972592946514407]]"
Rua Conde de Irajá,Botafogo,"[[-43.18291167426335, -22.953640566441425], [-43.18353029882203, -22.95423028716046], [-43.18358616493181, -22.955157187824764], [-43.18445474765296, -22.95502750555824], [-43.18454816998346, -22.954476450324847]]"
Rua Fernandes Guimarães,Botafogo,"[[-43.18494215801215, -22.952495421634747], [-43.18557830175116, -22.953184941142887], [-43.18468607082689, -22.95246136990086], [-43.18514458148061, -22.9527147512683], [-43.18532711313841, -22.95242675218182]]"
Rua Paulo Barreto,Botafogo,"[[-43.184346456348536, -22.950604166626913], [-43.18490251202467, -22.951549974641907], [-43.184558726537475, -22.952087825048732], [-43.18535050937351, -22.953048403973224], [-43.1859934200494, -22.952448571802478]]"
Rua Hilário de Gouveia,Copacabana,"[[-43.184240966854, -22.969903351643445], [-43.18352957391779, -22.969458817779735], [-43.18373520685855, -22.9687983780506], [-43.18432523826772, -22.96846220777746], [-43.183532566630674, -22.96887591231694]]"
Rua Buarque de Macedo,Flamengo,"[[-43.17924080677676, -22.938452682469123], [-43.17907472365482, -22.939089811598944], [-43.17828938023267, -22.93924696249776], [-43.178605745529275, -22.93861207537428], [-43.17884636071294, -22.939093228507417]]"
Rua Buarque de Macedo,Catete,"[[-43.17884353008685, -22.924755106552904], [-43.17897127702858, -22.9246510121912], [-43.178074370414656, -22.925062080672117], [-43.178794144063126, -22.924534869083796], [-43.17881928166663, -22.923797933132]]"
Rua Capitão Salomão,Humaitá,"[[-43.19786518415008, -22.956448718973185], [-43.19778191572076, -22.956911364254417], [-43.198266140349894, -22.956644407814764], [-43.197596279876294, -22.957365695666617], [-43.19754489951169, -22.95639689130521]]"
Galeria Triangular,Botafogo,"[[-43.18281420716063, -22.954789655940715], [-43.182661174209606, -22.955554153774933], [-43.18255281820458, -22.95600604333356], [-43.18189333459716, -22.955703202556855], [-43.18287134293985, -22.956290360013334]]"
Rua Humberto de Campos,Leblon,"[[-43.22111552138698, -22.983556659534624], [-43.22078544803789, -22.983355625813758], [-43.219956624146036, -22.98400488325651], [-43.220190347089535, -22.984167342206725], [-43.22109641515598, -22.984129506796158]]"
Ciclovia Mané Garrincha,Urca,"[[-43.1623810873432, -22.95750320799245], [-43.16260249611511, -22.958012509773088], [-43.162891150682185, -22.958435122299548], [-43.16329690725094, -22.957997030489178], [-43.16334480644654, -22.957864221208585]]"
Rua Garcia d'Ávila,Ipanema,"[[-43.20571035772846, -22.982004567416737], [-43.20618582963986, -22.982942201146614], [-43.20708297801289, -22.982752045285213], [-43.20688929231506, -22.98275931279081], [-43.20634746790757, -22.983090825009178]]"
Rua Rodolfo Dantas,Copacabana,"[[-43.18272705210276, -22.96613086746278], [-43.18285739742556, -22.965754062669927], [-43.18221919279021, -22.96626125860345], [-43.1818297998485, -22.965662426845512], [-43.18164933851476, -22.96611813657105]]"
Rua São João Batista,Botafogo,"[[-43.18747908821448, -22.949396118547224], [-43.187587076668564, -22.948495643839582], [-43.18750327477381, -22.949125377981904], [-43.18703882500099, -22.948379486310152], [-43.18672125826757, -22.94776636401443]]"
Rua Marquês de São Vicente,Gávea,"[[-43.23006345021814, -22.977101991946846], [-43.22908811420215, -22.977659573063207], [-43.230009260579415, -22.976771454383833], [-43.22915876394458, -22.976360304038803], [-43.22902287348348, -22.976999153348547]]"
Rua Paissandu,Flamengo,"[[-43.17761590595577, -22.935515478396518], [-43.17667378946544, -22.934666686005766], [-43.176725361032126, -22.93377815302754], [-43.17603626223506, -22.93305406772556], [-43.17537843128676, -22.933415866779075]]"
Rua Machado de Assis,Catete,"[[-43.180576598685334, -22.927119946976273], [-43.18018402113358, -22.927966040573015], [-43.17973448759052, -22.928286290645477], [-43.18010390691486, -22.92915557796388], [-43.17952246058518, -22.92907659537913]]"
Rua Santa Clara,Copacabana,"[[-43.1820048208709, -22.965184133510583], [-43.18295601930779, -22.965718214561075], [-43.18391348048609, -22.964978016813273], [-43.18385560621804, -22.964228613467906], [-43.18325803974649, -22.96335047807088]]"
Lagoa/Botafogo,Botafogo,"[[-43.185888414518345, -22.950296870266413], [-43.18563340359191, -22.950337119025807], [-43.18466523665351, -22.949589764797434], [-43.18482970308917, -22.949053217969706], [-43.18435453848599, -22.94921050396515]]"
Orla Ipanema,Ipanema,"[[-43.205276566050074, -22.984272267054155], [-43.20580935054797, -22.984679650813245], [-43.20677360267851, -22.985595464433974], [-43.20691805641104, -22.984620019654503], [-43.206558761845656, -22.984851366360186]]"
Pacheco Leão/General Garzon,Jardim Botânico,"[[-43.22246353398612, -22.963281929913506], [-43.221705297370995, -22.963446768361937], [-43.2217704943485, -22.962557304317354], [-43.22243642645631, -22.96233048153893], [-43.222973083053546, -22.961348144286656]]"
Lagoa/Botafogo,Humaitá,"[[-43.1949238689339, -22.955353579230728], [-43.19557081286989, -22.95589223960729], [-43.1961979363456, -22.956451267189152], [-43.19649768582727, -22.955892098242018], [-43.195559480566985, -22.956776412888892]]"
Rua Bolívar,Copacabana,"[[-43.18465662850468, -22.964530553064122], [-43.18414015155327, -22.964738069026318], [-43.18483235974059, -22.96434602779021], [-43.18538347859692, -22.96371436154023], [-43.18530952975113, -22.964266726310584]]"
Rua República do Peru,Copacabana,"[[-43.180435234824216, -22.969951078975615], [-43.181176204981654, -22.97041987889044], [-43.1802649019852, -22.9696423827307], [-43.179645869835745, -22.96891812749617], [-43.179544155094526, -22.96860764353489]]"
Rua General Venâncio Flores,Leblon,"[[-43.22314147729744, -22.986563868897928], [-43.223149725827284, -22.986117028670552], [-43.22370935942338, -22.986954936238735], [-43.2245570977044, -22.986588418711417], [-43.22456680465037, -22.98588600488332]]"
Rua General Severiano,Botafogo,"[[-43.186213144752585, -22.949951914204448], [-43.18608168082459, -22.94959588189933], [-43.185324420851884, -22.950061825358993], [-43.18500751718257, -22.94946697331578], [-43.18427292878065, -22.94876580985759]]"
Rua Arno Konder,Flamengo,"[[-43.175319155369436, -22.935515171229984], [-43.17481372209032, -22.935277948473555], [-43.174051980571925, -22.93596073826297], [-43.17499348600585, -22.93521705120748], [-43.17573574627091, -22.934565417706352]]"
Rua Visconde de Caravelas,Humaitá,"[[-43.193092197855286, -22.95803544062371], [-43.19307726238777, -22.957371172267795], [-43.19350318612142, -22.95835840052436], [-43.19254081376536, -22.95812454668761], [-43.193021206603234, -22.95786091963358]]"
Rua Bambina,Botafogo,"[[-43.187658116167036, -22.95022092762909], [-43.18757558300968, -22.949698871824086], [-43.18789183867761, -22.948772887816368], [-43.187027782466586, -22.9485076440301], [-43.186153325492114, -22.94930262457412]]"
Rua Andrade Pertence,Catete,"[[-43.177050967468126, -22.926694218598318], [-43.17688662654778, -22.92755951739538], [-43.17664479551224, -22.927867751281475], [-43.17590172189993, -22.928776267213852], [-43.17496396618936, -22.927829289275497]]"
Rua Farani,Botafogo,"[[-43.188152478501245, -22.950350420824424], [-43.188505258062946, -22.951306173721367], [-43.18796444322733, -22.95132888734056], [-43.18807263781458, -22.950962296587345], [-43.187078388814264, -22.951415043254784]]"
Rua Xavier da Silveira,Copacabana,"[[-43.1809311427075, -22.969518257072853], [-43.18148960348192, -22.96913089262129], [-43.18112860487777, -22.969966130530057], [-43.18158208582378, -22.969657108101494], [-43.18227997004021, -22.968755380976994]]"
Travessa dos Tamoios,Flamengo,"[[-43.175568844314014, -22.93718163609844], [-43.17602041390932, -22.937386447302515], [-43.17620174589669, -22.936418492006595], [-43.17674183668491, -22.935630293599235], [-43.177679568519146, -22.936204084191186]]"
Galeria Hollywood,Laranjeiras,"[[-43.18796074055985, -22.93391385050096], [-43.18858968952845, -22.93297746364513], [-43.188036495822864, -22.932240217309218], [-43.18734692936663, -22.93169837361993], [-43.18709448872337, -22.931176325638045]]"
Rua Visconde de Caravelas,Botafogo,"[[-43.184600098112874, -22.949374912913104], [-43.18463705340985, -22.94878183833115], [-43.18538668182545, -22.949547221953225], [-43.18552607003565, -22.949176091378767], [-43.185542880942165, -22.949775041925367]]"
Rodolfo Dantas,Copacabana,"[[-43.18091464539617, -22.96888603957339], [-43.181004205098006, -22.969265315655544], [-43.18185931132242, -22.97024207457573], [-43.18189943365299, -22.970457087462915], [-43.18231610849557, -22.970257046366676]]"
Avenida Delfim Moreira,Leblon,"[[-43.224462287047906, -22.984120894066642], [-43.22525242669107, -22.984159880172125], [-43.224279101504536, -22.9846757901404], [-43.22428132519763, -22.9853907990546], [-43.22387639525654, -22.985154487585962]]"
Rua Raul Pompéia,Copacabana,"[[-43.182593730139686, -22.96854123215054], [-43.18289247627727, -22.96936549915225], [-43.18373531928296, -22.970299092934667], [-43.184469887774874, -22.970505246382263], [-43.1840909578366, -22.97037016468574]]"
Rua Miguel Lemos,Copacabana,"[[-43.185072592957994, -22.969495104506446], [-43.18465964150502, -22.96922224400736], [-43.18378721701254, -22.970159071717706], [-43.183704624341935, -22.971055129150404], [-43.18296268609444, -22.970637008111503]]"
Galeria do Edifício Rio Parnaíba,Flamengo,"[[-43.17451104931752, -22.93766329884474], [-43.1737214160054, -22.93850306915197], [-43.17308682046547, -22.938407884399663], [-43.172799665075075, -22.938503247830624], [-43.17233648603156, -22.938450442508753]]"
Rua Jangadeiros,Ipanema,"[[-43.20604273191932, -22.984917380595938], [-43.2066043039446, -22.984173813462753], [-43.20693051236106, -22.983222082951116], [-43.20635111534678, -22.98385784711974], [-43.20635472391387, -22.983540431568738]]"
Rua Artur Bernardes,Catete,"[[-43.17532199650366, -22.927129271552012], [-43.175021345130965, -22.92617968522772], [-43.1746608886461, -22.926780600325863], [-43.17559958364169, -22.927636203507905], [-43.17567433772821, -22.928120837730884]]"
Rua Duvivier,Copacabana,"[[-43.18314703999331, -22.9660437608728], [-43.183404962467336, -22.966351890887708], [-43.18432474408451, -22.965376591760236], [-43.184167393267366, -22.964642528767993], [-43.18371687794654, -22.964765297929613]]"
Avenida General San Martin,Leblon,"[[-43.22216967443876, -22.983395788815933], [-43.221984973781574, -22.98384213322146], [-43.22256364940356, -22.983017406530227], [-43.22230052896337, -22.9827714733631], [-43.22303739359312, -22.98230524731827]]"
Rua Senador Corrêa,Laranjeiras,"[[-43.18937474005046, -22.93802190134678], [-43.19001278614504, -22.937079111158695], [-43.19002823043214, -22.936370340971955], [-43.1892867306296, -22.936875878823148], [-43.18925709592174, -22.936985268313144]]"
Avenida Henrique Dumont,Ipanema,"[[-43.20465351078009, -22.98541885676449], [-43.20513724391469, -22.98448003211982], [-43.20548686378624, -22.984166558790736], [-43.20622511646481, -22.983619612539364], [-43.20631753738204, -22.982679970449208]]"
Rua Aires Saldanha,Copacabana,"[[-43.18258135630866, -22.969481452569475], [-43.1819235895769, -22.969807446216613], [-43.18242616103172, -22.969945671169288], [-43.18201260659795, -22.96971138119608], [-43.18267736816537, -22.970377297380278]]"
Rua Antônio Mendes Campos,Catete,"[[-43.1784522147455, -22.924517172834268], [-43.177840874439596, -22.92382883193633], [-43.17710433187857, -22.923658123207538], [-43.17788049263977, -22.924246440787464], [-43.17876631892759, -22.92470694156443]]"
