Bairro,Rua,Qtd_Comércios_existentes,Indice_Fluxo_Pedestres,Renda_média_Familiar_R$,Coef_Concentration_Conc,Potencial_Delivery_Score,Score_Global_Final,Custo_Luvas_m2_R$,Aluguel_Mensal_m2_R$,Custo_Total_Ano1_R$,Indice_Rentabilidade_Imobi
Flamengo / Laranjeiras,Rua Paissandu,49,76,9200,0.0294,89,67,1950,140,199650,89
Ipanema,Rua Prudente de Morais,49,78,14800,0.0294,91,74,5350,350,525250,34
Laranjeiras,Rua General Glicério,48,77,8500,0.0288,76,64,1950,140,199650,89
Botafogo,Rua Sorocaba,45,77,9800,0.027,96,69,3100,190,295900,73
Catete / Flamengo,Rua Buarque de Macedo,44,73,9200,0.0264,89,65,1950,140,199650,89
Botafogo,Rua Professor Álvaro Rodrigues,43,79,9800,0.0258,96,70,3100,200,302500,72
Botafogo,Rua Nelson Mandela,42,96,9800,0.0252,96,77,4150,250,393250,57
Catete,Rua Pedro Américo,41,67,6900,0.0246,83,59,1550,110,157850,96
Ipanema,Rua Vinícius de Moraes,41,69,14800,0.0246,91,69,5200,340,510400,37
Copacabana,Avenida Princesa Isabel,40,75,8200,0.024,99,67,3050,190,293150,73
Botafogo / Humaitá,Lagoa/Botafogo,39,80,9800,0.0234,96,70,3100,200,302500,72
Catete / Flamengo,Rua Corrêa Dutra,39,77,9200,0.0234,89,67,1950,140,199650,89
Catete / Glória,Rua Antônio Mendes Campos,36,75,6900,0.0216,83,62,1600,110,160600,96
Botafogo / Humaitá,Rua Visconde de Caravelas,35,70,9800,0.021,96,65,3000,190,290400,74
Flamengo / Laranjeiras,Rua São Salvador,35,70,9200,0.021,89,63,1900,140,196900,89
Catete,Rua Bento Lisboa,34,73,6900,0.0204,83,61,1600,110,160600,96
Botafogo,Rua da Passagem,33,76,9800,0.0198,96,68,3050,190,293150,73
Gávea / Leblon,Avenida Bartolomeu Mitre,33,77,16500,0.0198,89,74,5350,350,525250,34
Copacabana,Rua Domingos Ferreira,33,66,8200,0.0198,99,62,2900,190,284900,75
Copacabana,Rua Figueiredo de Magalhães,32,73,8200,0.0192,99,65,3000,190,290400,74
Copacabana,Rua Belfort Roxo,32,75,8200,0.0192,99,66,3050,190,293150,73
Botafogo / Urca,Rua General Severiano,32,72,11800,0.0192,96,68,3000,190,290400,74
Copacabana,Praça Demétrio Ribeiro,31,69,8200,0.0186,98,63,2950,190,287650,74
Botafogo,Rua Real Grandeza,31,73,9800,0.0186,95,66,3000,190,290400,74
Leblon,Rua Dias Ferreira,31,65,16500,0.0186,88,68,5100,330,498300,39
Ipanema,Rua Maria Quitéria,31,68,14800,0.0186,90,68,5150,340,507650,37
Botafogo,Rua Mena Barreto,30,74,9800,0.018,95,67,3050,190,293150,73
Copacabana / Ipanema,Rua Francisco Otaviano,28,71,14800,0.0168,98,71,5200,340,510400,37
Gávea,Praça Santos Dumont,27,70,13200,0.0162,45,58,1550,110,157850,96
Ipanema,Rua Farme de Amoedo,27,67,14800,0.0162,90,67,5150,340,507650,37
Botafogo,Rua General Polidoro,27,74,9800,0.0162,95,66,3050,190,293150,73
Botafogo / Flamengo,Rua Clarice Índio do Brasil,26,61,9800,0.0156,95,60,2850,190,282150,75
Botafogo / Humaitá,Rua Conde de Irajá,26,73,9800,0.0156,95,66,3000,190,290400,74
Copacabana,Rua Constante Ramos,25,70,8200,0.015,98,63,3000,190,290400,74
Copacabana,Rua Ministro Viveiros de Castro,25,68,8200,0.015,98,62,2950,190,287650,74
Copacabana,Rua Ronald de Carvalho,24,71,8200,0.0144,98,64,3000,190,290400,74
Botafogo,Rua Visconde de Ouro Preto,24,68,9800,0.0144,95,63,2950,190,287650,74
Botafogo,Rua Arnaldo Quintela,24,96,9800,0.0144,95,76,3350,200,316250,69
Ipanema,Rua Barão da Torre,24,71,14800,0.0144,90,69,5200,340,510400,37
Copacabana / Leme,Rua Gustavo Sampaio,23,69,8200,0.0138,98,63,2950,190,287650,74
Copacabana,Rua Hilário de Gouveia,23,69,8200,0.0138,98,63,2950,190,287650,74
Botafogo,Rua Fernandes Guimarães,23,60,9800,0.0138,95,60,2850,190,282150,75
Botafogo,Rua Paulo Barreto,23,69,9800,0.0138,95,64,2950,190,287650,74
Copacabana,Rua Tonelero,23,73,8200,0.0138,98,64,3000,190,290400,74
Humaitá,Rua Capitão Salomão,22,66,9100,0.0132,70,57,2900,190,284900,75
Botafogo,Rua São João Batista,21,70,9800,0.0126,95,64,3000,190,290400,74
Copacabana / Ipanema,Rua Raul Pompéia,21,72,14800,0.0126,98,70,5250,340,513150,36
Gávea,Rua Marquês de São Vicente,21,78,13200,0.0126,45,61,1600,110,160600,96
Copacabana,Rua Rodolfo Dantas,21,67,8200,0.0126,98,62,2950,190,287650,74
Leblon,Rua Humberto de Campos,21,70,16500,0.0126,88,69,5200,340,510400,37
Ipanema,Rua Garcia d'Ávila,21,63,14800,0.0126,90,65,5050,330,495550,39
Copacabana / Ipanema,Rua Francisco Sá,20,67,14800,0.012,98,68,5150,340,507650,37
Copacabana / Ipanema,Rua Gomes Carneiro,20,67,14800,0.012,98,68,5150,340,507650,37
Copacabana,Rua Santa Clara,20,71,8200,0.012,98,63,3000,190,290400,74
Catete / Laranjeiras,Rua Gago Coutinho,19,65,8500,0.0114,82,57,1850,140,194150,90
Copacabana,Rua Bolívar,19,65,8200,0.0114,98,60,2900,190,284900,75
Copacabana,Rua República do Peru,19,66,8200,0.0114,98,61,2900,190,284900,75
Jardim Botânico,Pacheco Leão/General Garzon,19,72,12500,0.0114,45,57,3000,190,290400,74
Catete / Flamengo,Praça José de Alencar,19,73,9200,0.0114,88,63,1950,140,199650,89
Leblon,Rua General Venâncio Flores,18,59,16500,0.0108,88,64,5000,330,492800,40
Catete / Flamengo,Rua Ministro Tavares de Lira,18,67,9200,0.0108,88,60,1850,140,194150,90
Flamengo,Rua Arno Konder,18,64,9200,0.0108,88,59,1850,140,194150,90
Catete,Rua Andrade Pertence,18,62,6900,0.0108,82,54,1500,100,148500,98
Botafogo,Rua Bambina,18,70,9800,0.0108,95,63,3000,190,290400,74
Copacabana,Rua Xavier da Silveira,17,66,8200,0.0102,98,61,2900,190,284900,75
Flamengo,Travessa dos Tamoios,17,69,9200,0.0102,88,61,1900,140,196900,89
Botafogo,Rua Farani,17,72,9800,0.0102,95,64,3000,190,290400,74
Leblon,Avenida Delfim Moreira,17,66,16500,0.0102,88,67,5100,340,504900,38
Botafogo / Humaitá,Rua Marques,17,79,9800,0.0102,95,67,3100,200,302500,72
Copacabana,Rodolfo Dantas,17,68,8200,0.0102,98,61,2950,190,287650,74
Copacabana,Rua Duvivier,16,65,8200,0.0096,98,60,2900,190,284900,75
Catete,Rua Artur Bernardes,16,62,6900,0.0096,82,54,1500,100,148500,98
Ipanema,Rua Jangadeiros,16,73,14800,0.0096,90,68,5250,340,513150,36
Copacabana / Ipanema,João Saldanha,16,65,14800,0.0096,98,66,5100,330,498300,39
Laranjeiras,Rua Senador Corrêa,16,66,8500,0.0096,75,56,1850,140,194150,90
Copacabana / Ipanema,Avenida Rainha Elizabeth,16,70,14800,0.0096,98,69,5200,340,510400,37
Leblon,Avenida General San Martin,16,68,16500,0.0096,88,68,5150,340,507650,37
Copacabana,Rua Miguel Lemos,16,65,8200,0.0096,98,60,2900,190,284900,75
Botafogo,Rua Dezenove de Fevereiro,15,69,9800,0.009,95,63,2950,190,287650,74
Copacabana,Rua Aires Saldanha,15,61,8200,0.009,98,58,2850,190,282150,75
Copacabana,Praça Cardeal Arcoverde,15,70,8200,0.009,98,62,3000,190,290400,74
Ipanema,Avenida Henrique Dumont,15,65,14800,0.009,90,65,5100,330,498300,39
Laranjeiras,Rua General Cristóvão Barcelos,15,63,8500,0.009,75,55,1850,140,194150,90
Flamengo,Rua Fernando Osório,14,65,9200,0.0084,88,59,1850,140,194150,90
Copacabana,Rua Dias da Rocha,14,57,8200,0.0084,98,56,2800,180,272800,77
Gávea / Leblon,Avenida Rodrigo Otávio,14,69,16500,0.0084,88,68,5200,340,510400,37
Flamengo,Rua Visconde do Cruzeiro,14,65,9200,0.0084,88,59,1850,140,194150,90
Laranjeiras,Rua Ipiranga,14,61,8500,0.0084,75,53,1800,130,184800,92
Copacabana / Ipanema,Rua Júlio de Castilhos,14,57,14800,0.0084,98,63,4950,330,490050,40
Copacabana / Ipanema,Rua Bulhões de Carvalho,14,67,14800,0.0084,98,67,5150,340,507650,37
Ipanema,Rua Aníbal de Mendonça,14,61,14800,0.0084,90,63,5000,330,492800,40
Botafogo,Rua das Palmeiras,14,70,9800,0.0084,95,63,3000,190,290400,74
Ipanema,Rua Joana Angélica,13,64,14800,0.0078,90,64,5100,330,498300,39
Copacabana,Rua Barão de Ipanema,13,64,8200,0.0078,98,59,2900,190,284900,75
Copacabana,Rua Paula Freitas,13,57,8200,0.0078,98,56,2800,180,272800,77
Flamengo,Rua Marquês de Paraná,13,67,9200,0.0078,88,59,1850,140,194150,90
Copacabana / Ipanema,Rua Joaquim Nabuco,13,60,14800,0.0078,98,64,5000,330,492800,40
Laranjeiras,Rua Alice,13,60,8500,0.0078,75,53,1800,130,184800,92
Leblon,Rua Rainha Guilhermina,13,57,16500,0.0078,88,62,4950,330,490050,40
Catete,Via Martins da Mota,12,56,6900,0.0072,82,51,1450,100,145750,98
Laranjeiras,Rua Sebastião de Lacerda,12,62,8500,0.0072,75,53,1800,130,184800,92
Catete / Flamengo,Rua Almirante Tamandaré,12,67,9200,0.0072,88,59,1850,140,194150,90
Flamengo / Laranjeiras,Rua Conde de Baependi,12,67,9200,0.0072,88,59,1850,140,194150,90
Jardim Botânico,Rua Lopes Quintas,12,66,12500,0.0072,45,53,2900,190,284900,75
Laranjeiras,Rua Mário Portela,12,56,8500,0.0072,75,51,1750,130,182050,92
Catete / Flamengo,Rua Governador Irineu Bornhausen,12,62,9200,0.0072,88,57,1800,130,184800,92
Gávea / São Conrado,Estrada da Gávea,11,72,13200,0.0066,45,56,1600,110,160600,96
Laranjeiras,Praça David Ben Gurion,11,62,8500,0.0066,75,53,1800,130,184800,92
Copacabana,Rua Almirante Gonçalves,11,64,8200,0.0066,98,58,2900,190,284900,75
Ipanema,Avenida Epitácio Pessoa,11,62,14800,0.0066,90,62,5050,330,495550,39
Copacabana,Rua Raimundo Corrêa,11,62,8200,0.0066,98,57,2850,190,282150,75
Urca,Avenida João Luís Alves,10,68,11800,0.006,35,51,1550,110,157850,96
Gávea,Rua dos Oitis,10,55,13200,0.006,45,48,1450,100,145750,98
Botafogo,Rua Muniz Barreto,10,70,9800,0.006,95,62,3000,190,290400,74
Leme,Rua Anchieta,10,65,7900,0.006,97,58,2900,190,284900,75
Botafogo,Rua Pinheiro Guimarães,10,61,9800,0.006,95,58,2850,190,282150,75
Catete / Flamengo,Rua Ferreira Viana,10,59,9200,0.006,88,55,1800,130,184800,92
Botafogo,Rua Guilhermina Guinle,10,66,9800,0.006,95,60,2900,190,284900,75
São Conrado,Avenida Prefeito Mendes de Morais,10,66,11500,0.006,30,49,1550,100,151250,97
Urca,Avenida Portugal,10,68,11800,0.006,35,51,1550,110,157850,96
Glória,Rua da Glória,10,65,6500,0.006,80,53,1500,100,148500,98
Gávea,Avenida Padre Leonel Franca,10,66,13200,0.006,45,53,1550,100,151250,97
Jardim Botânico,Rua Visconde de Carandaí,10,63,12500,0.006,45,51,2900,190,284900,75
Botafogo / Humaitá,Rua Visconde de Silva,10,68,9800,0.006,95,61,2950,190,287650,74
Botafogo,Botafogo,9,78,9800,0.0054,95,65,3100,200,302500,72
Jardim Botânico,Rua Von Martius,9,61,12500,0.0054,45,50,2850,190,282150,75
Copacabana,Rua Pompeu Loureiro,9,67,8200,0.0054,98,59,2950,190,287650,74
Leblon,Rua Carlos Gois,9,61,16500,0.0054,88,63,5000,330,492800,40
Laranjeiras,Rua Ribeiro de Almeida,9,65,8500,0.0054,75,54,1850,140,194150,90
Copacabana,Duvivier,9,62,8200,0.0054,98,57,2850,190,282150,75
Botafogo / Copacabana,Ladeira dos Tabajaras,9,63,9800,0.0054,98,59,2900,190,284900,75
Humaitá,Largo dos Leões,9,66,9100,0.0054,70,54,2900,190,284900,75
Catete / Laranjeiras,Rua Tavares Bastos,9,58,8500,0.0054,82,52,1800,130,184800,92
Leblon,Rua Aristides Espínola,9,58,16500,0.0054,88,61,4950,330,490050,40
Humaitá,Rua Desembargador Burle,9,61,9100,0.0054,70,52,2850,190,282150,75
Copacabana / Ipanema,Rua Conselheiro Lafaiete,9,55,14800,0.0054,98,60,4900,320,480700,42
Botafogo / Laranjeiras,Rua Cardoso Júnior,9,63,9800,0.0054,95,58,2900,190,284900,75
Leblon,Rua José Linhares,8,60,16500,0.0048,88,62,5000,330,492800,40
Urca,Rua Cândido Gaffrée,8,64,11800,0.0048,35,48,1500,100,148500,98
Catete,Travessa Carlos de Sá,8,58,6900,0.0048,82,50,1450,100,145750,98
Flamengo,Rua Tucuman,8,63,9200,0.0048,88,56,1850,140,194150,90
Glória,Rua Santo Amaro,8,63,6500,0.0048,80,52,1500,100,148500,98
Botafogo,Praça Ozanan,8,64,9800,0.0048,95,58,2900,190,284900,75
Ipanema,Rua Redentor,8,60,14800,0.0048,90,61,5000,330,492800,40
Leblon,Rua General Artigas,8,60,16500,0.0048,88,62,5000,330,492800,40
Flamengo / Glória,Avenida Beira-Mar,8,69,9200,0.0048,88,59,1900,140,196900,89
Laranjeiras,Rua Professor Ortiz Monteiro,8,61,8500,0.0048,75,52,1800,130,184800,92
Copacabana,Rua Leopoldo Miguez,8,54,8200,0.0048,98,53,2750,180,270050,77
Urca,Rua Marechal Cantuária,8,66,11800,0.0048,35,49,1550,100,151250,97
Flamengo,Rua Barão de Icaraí,8,60,9200,0.0048,88,55,1800,130,184800,92
Laranjeiras,Rua Pinheiro Machado,8,71,8500,0.0048,75,56,1900,140,196900,89
Jardim Botânico,Rua Visconde da Graça,8,61,12500,0.0048,45,50,2850,190,282150,75
Botafogo / Flamengo,Rua Barão de Itambi,8,65,9800,0.0048,95,59,2900,190,284900,75
Copacabana,Praça Serzedelo Correia,8,54,8200,0.0048,98,53,2750,180,270050,77
Botafogo,Avenida Venceslau Braz,7,65,9800,0.0042,95,59,2900,190,284900,75
Humaitá,Rua Viúva Lacerda,7,57,9100,0.0042,70,49,2800,180,272800,77
Laranjeiras,Praça São Salvador,7,61,8500,0.0042,75,51,1800,130,184800,92
Jardim Botânico,Rua Maria Angélica,7,53,12500,0.0042,45,46,2750,180,270050,77
Copacabana,Travessa Angrense,7,62,8200,0.0042,98,56,2850,190,282150,75
Botafogo / Flamengo / Laranjeiras,Rua Paulo VI,7,62,9800,0.0042,95,57,2850,190,282150,75
Flamengo,Rua Barão do Flamengo,7,64,9200,0.0042,88,56,1850,140,194150,90
Botafogo,Rua Paulino Fernandes,7,65,9800,0.0042,95,59,2900,190,284900,75
Botafogo,Rua Bartolomeu Portela,7,53,9800,0.0042,95,53,2750,180,270050,77
Jardim Botânico,Rua Batista da Costa,7,59,12500,0.0042,45,49,2850,180,275550,76
Ipanema,Rua Nascimento Silva,7,62,14800,0.0042,90,61,5050,330,495550,39
Botafogo,Largo Almirante Índio do Brasil,7,57,9800,0.0042,95,55,2800,180,272800,77
Copacabana,Rua 5 de Julho,7,53,8200,0.0042,98,52,2750,180,270050,77
Laranjeiras,Largo Professor Saul Borges Carneiro,6,53,8500,0.0036,75,47,1750,130,182050,92
Glória,Ladeira da Glória,6,58,6500,0.0036,80,49,1450,100,145750,98
Botafogo,Rua Teresa Guimarães,6,61,9800,0.0036,95,56,2850,190,282150,75
Leblon,Rua Tubira,6,60,16500,0.0036,88,61,5000,330,492800,40
Copacabana,Rua Sousa Lima,6,58,8200,0.0036,98,54,2800,180,272800,77
Botafogo,Travessa Visconde de Morais,6,60,9800,0.0036,95,56,2850,190,282150,75
Urca,Rua Ramon Franco,6,60,11800,0.0036,35,46,1500,100,148500,98
Copacabana,Praça Shimon Peres,6,60,8200,0.0036,98,55,2850,190,282150,75
Botafogo,Rua Dona Mariana,6,66,9800,0.0036,95,59,2900,190,284900,75
Botafogo,Rua Assunção,6,58,9800,0.0036,95,55,2800,180,272800,77
Leme,Rua Antônio Vieira,6,53,7900,0.0036,97,51,2750,180,270050,77
Botafogo,Rua Marquês de Olinda,6,67,9800,0.0036,95,59,2950,190,287650,74
Gávea / Leblon,Rua Mário Ribeiro,6,56,16500,0.0036,88,59,4900,330,487300,41
Laranjeiras,Rua Esteves Júnior,6,64,8500,0.0036,75,52,1850,140,194150,90
Botafogo,Rua Henrique de Novais,6,58,9800,0.0036,95,55,2800,180,272800,77
Gávea,Rua José Roberto Macedo Soares,6,58,13200,0.0036,45,48,1450,100,145750,98
Botafogo,Rua Lauro Müller,6,72,9800,0.0036,95,61,3000,190,290400,74
Botafogo,Rua Lacerda de Almeida,6,53,9800,0.0036,95,53,2750,180,270050,77
Laranjeiras,Rua Leite Leal,6,53,8500,0.0036,75,47,1750,130,182050,92
Humaitá,Rua Macedo Sobrinho,6,58,9100,0.0036,70,49,2800,180,272800,77
Leblon,Rua General Urquiza,6,63,16500,0.0036,88,63,5050,330,495550,39
Humaitá,Rua General Dionísio,6,58,9100,0.0036,70,49,2800,180,272800,77
Leblon,Avenida Afrânio de Melo Franco,5,64,16500,0.003,88,62,5100,330,498300,39
Botafogo,Rua Álvares Borgerth,5,59,9800,0.003,95,55,2850,180,275550,76
Botafogo,Rua Álvaro Ramos,5,52,9800,0.003,95,52,2750,180,270050,77
Copacabana,Travessa Frederico Pamplona,5,55,8200,0.003,98,52,2750,180,270050,77
Catete,Travessa Almirante Protogenes Guimarães,5,59,6900,0.003,82,49,1450,100,145750,98
Copacabana,Rua Djalma Ulrich,5,52,8200,0.003,98,51,2750,180,270050,77
Copacabana,Rua Edmundo Lins,5,52,8200,0.003,98,51,2750,180,270050,77
Laranjeiras,Rua Engenheiro Moacir Reis,5,59,8500,0.003,75,50,1800,130,184800,92
Laranjeiras,Rua Erfurt,5,52,8500,0.003,75,46,1700,130,179300,92
Urca,Via Verde,5,52,11800,0.003,35,42,1400,100,143000,99
Leblon,Rua Adalberto Ferreira,5,59,16500,0.003,88,60,5000,330,492800,40
Laranjeiras,Rua Soares Cabral,5,59,8500,0.003,75,50,1800,130,184800,92
Ipanema,Largo do Millôr,5,52,14800,0.003,90,56,4850,320,477950,42
Catete,Escadaria do Morro Santo Amaro,5,52,6900,0.003,82,46,1400,100,143000,99
Botafogo,Rua da Matriz,5,63,9800,0.003,95,57,2900,190,284900,75
Catete / Glória,Rua Barão de Guaratiba,5,55,6900,0.003,82,48,1450,100,145750,98
Botafogo / Humaitá,Rua Capistrano de Abreu,5,60,9800,0.003,95,55,2850,190,282150,75
Ipanema,Rua Canning,5,52,14800,0.003,90,56,4850,320,477950,42
Botafogo / Urca,Rua Doutor Xavier Sigaud,4,62,11800,0.0024,95,58,2850,190,282150,75
Botafogo,Rua Marechal Niemeyer,4,51,9800,0.0024,95,51,2700,180,267300,78
Flamengo,Rua Desembargador Sady Gusmão,4,58,9200,0.0024,88,52,1800,130,184800,92
Leblon,Rua Cupertino Durão,4,56,16500,0.0024,88,58,4900,330,487300,41
Gávea,Rua Mary Pessoa,4,56,13200,0.0024,45,46,1450,100,145750,98
Copacabana,Rua Fernando Mendes,4,51,8200,0.0024,98,50,2700,180,267300,78
Copacabana,Rua Guimarães Natal,4,58,8200,0.0024,98,53,2800,180,272800,77
Flamengo,Rua Honório de Barros,4,51,9200,0.0024,88,49,1700,130,179300,92
Botafogo,Rua Ipu,4,56,9800,0.0024,95,53,2800,180,272800,77
Humaitá,Rua João Afonso,4,59,9100,0.0024,70,49,2850,180,275550,76
Copacabana,Rua Marechal Mascarenhas de Morais,4,51,8200,0.0024,98,50,2700,180,267300,78
Botafogo,Rua Eduardo Guinle,4,58,9800,0.0024,95,54,2800,180,272800,77
Jardim Botânico,Rua Faro,4,51,12500,0.0024,45,43,2700,180,267300,78
Botafogo,Rua Rodrigo de Brito,4,51,9800,0.0024,95,51,2700,180,267300,78
Leblon,Rua Almirante Guilhem,4,58,16500,0.0024,88,59,4950,330,490050,40
Copacabana,Praça Vereador Rocha Leão,4,51,8200,0.0024,98,50,2700,180,267300,78
Leblon,Rua Conde de Bernadote,4,51,16500,0.0024,88,56,4800,320,475200,43
Copacabana / Ipanema,Rua Piragibe Frota Aguiar,4,54,14800,0.0024,98,58,4900,320,480700,42
Jardim Botânico,Rua Saturnino de Brito,4,54,12500,0.0024,45,45,2750,180,270050,77
Botafogo,Rua Oliveira Fausto,4,51,9800,0.0024,95,51,2700,180,267300,78
Copacabana,Rua Cinco de Julho,4,51,8200,0.0024,98,50,2700,180,267300,78
Botafogo,Rua Professor Alfredo Gomes,4,61,9800,0.0024,95,55,2850,190,282150,75
Laranjeiras,Rua Professora Estelita Lins,4,56,8500,0.0024,75,48,1750,130,182050,92
Copacabana,Travessa Cristiano Lacorte,4,51,8200,0.0024,98,50,2700,180,267300,78
Leblon,Rua Gilberto Cardoso,4,56,16500,0.0024,88,58,4900,330,487300,41
Botafogo,Rua General Góis Monteiro,4,56,9800,0.0024,95,53,2800,180,272800,77
Jardim Botânico,Rua General Garzon,4,51,12500,0.0024,45,43,2700,180,267300,78
Botafogo,Travessa Pepe,4,60,9800,0.0024,95,55,2850,190,282150,75
Glória,Rua do Russel,4,63,6500,0.0024,80,50,1500,100,148500,98
Glória,Avenida Augusto Severo,4,64,6500,0.0024,80,50,1500,100,148500,98
Botafogo / Flamengo,Avenida Infante Dom Henrique,4,60,9800,0.0024,95,55,2850,190,282150,75
Ipanema,Avenida Francisco Bhering,4,51,14800,0.0024,90,55,4800,320,475200,43
Copacabana,Rua Tenreiro Aranha,4,60,8200,0.0024,98,54,2850,190,282150,75
Jardim Botânico,Largo Otto Lara Resende,4,54,12500,0.0024,45,45,2750,180,270050,77
Copacabana,Ronald de Carvalho,4,61,8200,0.0024,98,54,2850,190,282150,75
Jardim Botânico,Rua Alberto Ribeiro,4,51,12500,0.0024,45,43,2700,180,267300,78
Laranjeiras,"Rua das Laranjeiras, 336",4,70,8500,0.0024,75,54,1900,140,196900,89
Copacabana,Rua Silva Castro,4,51,8200,0.0024,98,50,2700,180,267300,78
Leblon,Rua Rita Ludolf,4,54,16500,0.0024,88,57,4900,320,480700,42
Copacabana,Rua Anita Garibaldi,3,49,8200,0.0018,98,48,2700,180,267300,78
Copacabana,Rua Carvalho de Mendonça,3,53,8200,0.0018,98,50,2750,180,270050,77
Humaitá,Rua Cesário Alvim,3,49,9100,0.0018,70,43,2700,180,267300,78
Jardim Botânico,Rua Conde Afonso Celso,3,49,12500,0.0018,45,42,2700,180,267300,78
Leblon,Rua Professor Azevedo Marques,3,56,16500,0.0018,88,58,4900,330,487300,41
Gávea,Rua Professor Manoel Ferreira,3,53,13200,0.0018,45,44,1400,100,143000,99
Laranjeiras,Rua Álvaro Chaves,3,49,8500,0.0018,75,44,1700,130,179300,92
Laranjeiras,Travessa Euricles Mattos,3,53,8500,0.0018,75,46,1750,130,182050,92
Flamengo,Rua do Pinheiro,3,49,9200,0.0018,88,47,1700,130,179300,92
Leblon,Rua Jerônimo Monteiro,3,49,16500,0.0018,88,54,4800,320,475200,43
São Conrado,Rua Embaixador Gabriel Landa,3,49,11500,0.0018,30,38,1400,100,143000,99
Botafogo,Rua Hans Staden,3,53,9800,0.0018,95,51,2750,180,270050,77
Leblon,Rua João Lira,3,49,16500,0.0018,88,54,4800,320,475200,43
Laranjeiras,Rua Eugênio Hussek,3,49,8500,0.0018,75,44,1700,130,179300,92
Leme,Rua Martim Afonso,3,56,7900,0.0018,97,51,2800,180,272800,77
Glória,Rua Cândido Mendes,3,56,6500,0.0018,80,46,1450,100,145750,98
Laranjeiras,Rua Engenheiro Fernando Nascimento da Silva,3,53,8500,0.0018,75,46,1750,130,182050,92
Gávea,Rua Artur Araripe,3,55,13200,0.0018,45,45,1450,100,145750,98
Copacabana,Rua Assis Brasil,3,56,8200,0.0018,98,51,2800,180,272800,77
Jardim Botânico,Rua Barao de Oliveira Castro,3,55,12500,0.0018,45,44,2750,180,270050,77
Laranjeiras,Rua Pereira da Silva,3,55,8500,0.0018,75,46,1750,130,182050,92
Leblon,Rua Almirante Pereira Guimarães,3,55,16500,0.0018,88,57,4900,320,480700,42
Urca,Praça dos Bondes,3,49,11800,0.0018,35,39,1400,100,143000,99
Botafogo,Rua São Manuel,3,53,9800,0.0018,95,51,2750,180,270050,77
São Conrado,Rua São Leobaldo,3,53,11500,0.0018,30,40,1400,100,143000,99
Ipanema,Rua Paul Redfern,3,49,14800,0.0018,90,53,4800,320,475200,43
Humaitá,Rua Vitório da Costa,3,58,9100,0.0018,70,47,2800,180,272800,77
Copacabana,Praça Eugênio Jardim,3,58,8200,0.0018,98,52,2800,180,272800,77
Ipanema,Rua Alberto de Campos,3,49,14800,0.0018,90,53,4800,320,475200,43
Botafogo / Flamengo,Avenida Rui Barbosa,3,63,9800,0.0018,95,55,2900,190,284900,75
